Day,Open,High,Low,Shares Traded,Turnover in Rs.,Close
Friday,1046.35,1046.35,1014.85,55514201,1.93E+10,1023.95
Monday,1023.85,1033.9,1008.45,36590594,1.19E+10,1032.65
Tuesday,1033.15,1041.25,1024.85,43427325,1.60E+10,1029.8
Wednesday,1030.2,1037.4,1022.05,42009915,1.86E+10,1030.7
Thursday,1030.2,1036.6,1007.8,60976410,2.04E+10,1011.75
Friday,1011.4,1024.35,1002.45,48226689,1.45E+10,1006.3
Monday,1006.65,1014.15,1003.2,40754070,1.52E+10,1008.8
Tuesday,1008.5,1011.5,979.7,54349531,1.85E+10,984.05
Wednesday,983.2,983.2,965.85,36426478,1.17E+10,971.9
Thursday,971.7,978.8,943,55953731,1.94E+10,973.65
Friday,973.7,979.1,963.85,47059191,1.57E+10,965.15
Monday,965,980.65,957.2,37943412,1.17E+10,979.85
Tuesday,980,1007.75,979.8,41403750,1.31E+10,1002.35
Wednesday,1002.25,1017.6,1002.15,31336388,1.17E+10,1013.15
Thursday,1013.5,1023.85,1008.15,38608662,1.31E+10,1009.7
Friday,1009.3,1029.75,1006.8,30811600,1.04E+10,1028.4
Monday,1028.45,1053.4,1028.45,37170812,1.40E+10,1051.4
Tuesday,1051.45,1066.25,1049.55,37092421,1.39E+10,1054.8
Wednesday,1054.8,1055.5,1032.95,31656230,1.05E+10,1054.15
Friday,1054.15,1066,1054.15,37986172,1.23E+10,1061.45
Monday,1061.65,1081.5,1060.2,32236917,1.01E+10,1079
Tuesday,1078.75,1080.2,1054.55,35066756,1.20E+10,1058.5
Wednesday,1058.45,1083.35,1057.75,35187121,1.32E+10,1079.4
Thursday,1078.95,1084.5,1074.15,24612770,7.90E+09,1081.2
Friday,1081,1091.3,1081,25926181,7.70E+09,1086.2
Monday,1086.6,1102.15,1086.6,31888604,9.88E+09,1091.65
Tuesday,1091.25,1091.25,1074.1,33045893,1.16E+10,1079.15
Wednesday,1079.95,1097.3,1071.75,41508588,1.19E+10,1082.4
Thursday,1082.05,1082.05,1054,45958757,1.41E+10,1057.75
Friday,1057.65,1057.65,1028.7,52843179,1.75E+10,1033.55
Monday,1033.2,1033.2,992.5,43259966,1.31E+10,995.8
Tuesday,995.7,1016.8,995.7,40447022,1.29E+10,999.1
Wednesday,999.45,1019.85,990.75,41525934,1.42E+10,997.55
Thursday,997.5,1001.3,975.65,42791310,1.44E+10,989.65
Friday,990.05,999.8,987.1,40375653,1.21E+10,997.8
Monday,998.3,1019.75,992.05,39086295,1.21E+10,1017.25
Tuesday,1017.25,1029.65,1008.8,39470679,1.31E+10,1011.45
Wednesday,1011.6,1017.75,1003.9,26656799,9.02E+09,1012.4
Thursday,1012.2,1012.2,990.85,30488773,9.37E+09,992.35
Friday,992.2,992.45,984.55,27240341,9.11E+09,986.8
Tuesday,986.9,988,959.4,30138633,8.59E+09,963.3
Wednesday,962.65,969.7,940.1,40291177,1.50E+10,944.8
Thursday,944.55,944.55,929.05,26130146,8.85E+09,941.35
Friday,941.4,965.3,941.4,30646177,9.92E+09,963.45
Monday,963.45,978.05,962.25,31334953,1.11E+10,976.6
Tuesday,977.05,979.55,967.85,34725860,1.17E+10,975.25
Wednesday,975.9,988.4,965.45,40627142,1.44E+10,967.95
Thursday,968.15,980.45,968.15,26136746,1.00E+10,976.1
Friday,976.1,981.2,971.9,31127558,1.27E+10,977.65
Monday,977.55,980.75,973.1,23994045,8.42E+09,976.1
Tuesday,976.1,976.1,962,24267152,8.44E+09,963.7
Wednesday,964.25,971.75,956,25113008,8.38E+09,958.9
Thursday,959.05,960.25,949.65,23246335,8.27E+09,956.65
Friday,956.8,978.15,956.8,27984989,1.26E+10,974.55
Tuesday,974.65,1002.15,974.65,30886246,1.29E+10,991.7
Wednesday,992.15,997.8,984,29277427,1.23E+10,988.85
Thursday,988.95,1001.1,988.95,28310115,1.05E+10,997.55
Friday,997.1,1006.25,991.85,24113544,8.72E+09,993.65
Monday,994.1,1011.7,994.1,21602804,8.00E+09,1009.6
Tuesday,1009.5,1017.55,1007.4,29755502,1.04E+10,1014.1
Wednesday,1014.1,1037.15,1014.1,31610338,1.02E+10,1036.05
Thursday,1036.3,1048.55,1032.4,29641061,1.00E+10,1045.8
Friday,1045.85,1064.15,1045.75,44476621,1.67E+10,1060.75
Monday,1060.9,1100.8,1060.9,49449866,1.85E+10,1098.2
Tuesday,1099.25,1101.95,1046.75,48973897,2.12E+10,1063.5
Wednesday,1062.7,1094.45,1062.7,39831675,1.40E+10,1092.35
Thursday,1091.95,1098.9,1079.95,30725846,1.04E+10,1083.35
Friday,1083.3,1086,1073.25,29667576,1.02E+10,1081.45
Monday,1081.95,1100.4,1081.95,46023985,1.44E+10,1099.5
Tuesday,1099.35,1102.85,1082.7,43622829,1.39E+10,1086.05
Wednesday,1086.65,1102.6,1074.55,44413657,1.55E+10,1083
Thursday,1083.35,1083.95,1072.4,37960039,1.44E+10,1077.5
